<<<<<<< HEAD
Date,Event Name,Value1,Value2,Value3
"November 18, 2019 at 08:44PM",esp8266_readings,1,204,22.5
"November 18, 2019 at 08:45PM",esp8266_readings,1,208,22.4
"November 18, 2019 at 08:46PM",esp8266_readings,1,200,22.4
"November 18, 2019 at 08:47PM",esp8266_readings,1,204,22.4
"November 18, 2019 at 08:48PM",esp8266_readings,1,330,22.4
"November 18, 2019 at 08:49PM",esp8266_readings,1,207,22.4
"November 18, 2019 at 08:50PM",esp8266_readings,1,200,22.4
"November 18, 2019 at 08:51PM",esp8266_readings,1,207,22.4
"November 18, 2019 at 08:52PM",esp8266_readings,1,201,22.4
"November 18, 2019 at 08:53PM",esp8266_readings,1,195,22.40;37.00
"November 18, 2019 at 08:54PM",esp8266_readings,0,310,22.40;37.00
"November 18, 2019 at 08:55PM",esp8266_readings,0,209,22.40;37.00
"November 18, 2019 at 08:56PM",esp8266_readings,0,210,22.40;38.00
"November 18, 2019 at 08:57PM",esp8266_readings,0,208,22.80;36.00
"November 18, 2019 at 08:58PM",esp8266_readings,0,206,22.70;36.00
"November 18, 2019 at 08:59PM",esp8266_readings,0,206,22.60;37.00
"November 18, 2019 at 09:00PM",esp8266_readings,0,209,22.50;37.00
"November 18, 2019 at 09:01PM",esp8266_readings,0,208,22.40;37.00
"November 18, 2019 at 09:02PM",esp8266_readings,0,213,22.40;38.00
"November 18, 2019 at 09:03PM",esp8266_readings,0,208,22.40;38.00
"November 18, 2019 at 09:04PM",esp8266_readings,0,214,22.30;39.00
"November 18, 2019 at 09:14PM",esp8266_readings,0,754,16.10;65.00
"November 18, 2019 at 09:14PM",esp8266_readings,0,531,16.10;64.00
"November 18, 2019 at 09:15PM",esp8266_readings,1,1024,16.20;64.00
"November 18, 2019 at 09:16PM",esp8266_readings,1,465,16.80;58.00
"November 18, 2019 at 09:17PM",esp8266_readings,1,448,17.00;56.00
"November 18, 2019 at 09:18PM",esp8266_readings,1,441,17.10;54.00
"November 18, 2019 at 09:19PM",esp8266_readings,1,437,17.10;54.00
"November 18, 2019 at 09:20PM",esp8266_readings,1,437,17.10;54.00
"November 18, 2019 at 09:21PM",esp8266_readings,1,438,17.20;53.00
"November 18, 2019 at 09:22PM",esp8266_readings,1,437,17.20;53.00
"November 18, 2019 at 09:23PM",esp8266_readings,1,440,17.30;53.00
"November 18, 2019 at 09:24PM",esp8266_readings,1,438,17.30;53.00
"November 18, 2019 at 09:25PM",esp8266_readings,1,439,17.20;52.00
"November 18, 2019 at 09:26PM",esp8266_readings,1,439,17.20;53.00
"November 18, 2019 at 09:27PM",esp8266_readings,1,436,17.20;53.00
"November 18, 2019 at 09:28PM",esp8266_readings,1,439,17.30;52.00
"November 18, 2019 at 09:29PM",esp8266_readings,1,437,17.30;53.00
"November 18, 2019 at 09:30PM",esp8266_readings,1,437,17.30;52.00
"November 18, 2019 at 09:31PM",esp8266_readings,1,439,17.30;52.00
"November 18, 2019 at 09:32PM",esp8266_readings,1,442,17.30;52.00
"November 18, 2019 at 09:33PM",esp8266_readings,1,446,17.20;52.00
"November 18, 2019 at 09:34PM",esp8266_readings,1,446,17.20;52.00
"November 18, 2019 at 09:35PM",esp8266_readings,1,442,17.20;52.00
"November 18, 2019 at 09:36PM",esp8266_readings,1,445,17.30;53.00
"November 18, 2019 at 09:37PM",esp8266_readings,1,446,17.30;53.00
